source,Rating,ReviewText,PUBLISH_TS,organisation
google,2 stars,"Nice clean rooms. Good breakfast..but it,s tottaly not safe erea. Someone broke our car glass in the same street. To many poeple laying in the streets.",2019-01-18 15:03:56.793278,ibis saint martin
google,4 stars,Was OK.,2019-01-18 15:03:56.793296,ibis saint martin
google,5 stars,Was exactly what you’d expect and the staff we’re really helpful when we were looking for a parking spot.,2020-08-20 15:03:56.793313,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.793335,ibis saint martin
google,5 stars,Good hotel,2020-01-18 15:03:56.793352,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.793437,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793456,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.793473,ibis saint martin
google,2 stars,"Welcoming and competent team. Tiny room, very ordinary breakfast.",2020-03-23 15:03:56.793490,ibis saint martin
google,,"A great budget hotel with clean, modern and secure rooms ideal for a city break.",2019-01-18 15:03:56.793507,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.793524,ibis saint martin
google,1 stars,"Simply SCANDALOUS, my parents had reserved a room this evening 03/17 (first day of confinement). They've just returned from a trip to Argentina… So no choice! They had warned the day before that we were arriving around 11pm, given the context ... Result of the races, hotel closed ... no one to welcome them, we leave two elderly people on the street, without any resources, the first day of confinement ... no communication to warn us that the hotel will be closed ... BUT YOU ARE SCANDALOUS",2020-04-22 15:03:56.793541,ibis saint martin
google,4 stars,"In general the Hotel is quite decent, good in cleaning, in communication to the center of Paris, in kindness of the receptionists ... etc. The main problem is the place where you are, the hotel is in an area that does not seem very safe, the canal is full of beggars although there is a curator for Louis Blanc. It is not recommended to go out late at night.",2020-01-18 15:03:56.793560,ibis saint martin
google,4 stars,"Very warm welcome, clean, good breakfast, welcoming and attentive staff and represents the Accor group well",2020-09-19 15:03:56.793578,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.793595,ibis saint martin
google,,"To chyba najgorszy hotel Ibis w jakim miałem okazję się zatrzymać. Nawet hotele Ibis Budget Śniadanie w tym hotelu to porażka. Ciągle czegoś brakuje i trzeba czekać aż obsługa w końcu przyniesie. Brakuje kubków, sztućców itp. Jest chyba … Visited in August 2018",2019-01-18 15:03:56.793610,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793628,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.793644,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793660,ibis saint martin
google,,"The reception staff was friendly and helpful. When I got to my room it turned out that it wasn't ready yet, so they have offered me another one. The room was rather small for two people, but still comfortable, and clean. … Visited in February 2020",2020-02-22 15:03:56.793676,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.793693,ibis saint martin
google,5 stars,,2020-03-23 15:03:56.793709,ibis saint martin
google,,Emplacement proche gare et standards propres aux hôtels IBIS,2020-10-19 15:03:56.793725,ibis saint martin
google,3 stars,Sympathetic,2021-01-03 15:03:56.793742,ibis saint martin
google,1 stars,"Arrived on Friday night. We wait 10 minutes outside to ring. Nobody ... we come across an ""extra"" that tells us that the parking is complete and far. Room without safe or coffee maker. Indignate of a red ibis. To flee.",2019-01-18 15:03:56.793758,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793775,ibis saint martin
google,3 stars,"Nice hotel, terrible location. The neighborhood where it is located is ugly and is full of people in a street situation, it does not offer security. We went out at night with a lot of fear. The Hotel is clean comfortable and quiet, a pity that it is in such an ugly neighborhood",2019-01-18 15:03:56.793791,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793808,ibis saint martin
google,5 stars,Great,2020-01-18 15:03:56.793824,ibis saint martin
google,,Very good hotel generally. The staff were all very good and helpful and the hotel was very clean. The room we stayed in was spotless. My only criticism was that the shower attachment appeared to need attention. However I would definitely …,2019-01-18 15:03:56.793840,ibis saint martin
google,4 stars,Small but comfortable rooms. Unfortunately often full weeks in advance. The plus: the good madeleines at breakfast!,2019-01-18 15:03:56.793922,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.793958,ibis saint martin
google,,Stayed before ideal for Gare du Nord station 15 mins walk. Great area by the canal away from main tourist areas but only 40 minute walk away or Metro Louis Blanc 10 mins walk,2020-01-18 15:03:56.793976,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.794018,ibis saint martin
google,4 stars,Great location for public transport,2020-03-23 15:03:56.794038,ibis saint martin
google,5 stars,"The staff very friendly, his breakfast very good, the hotel is well located and well connected but they are a bit small.",2020-01-18 15:03:56.794055,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.794073,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794090,ibis saint martin
google,,"Great place to stay. Modern, clean and stylish hotel. A working class neighbourhood with lots of restaurants and friendly people. Metro stops nearby.",2020-01-18 15:03:56.794105,ibis saint martin
google,1 stars,"Tight room, rude staff, bad breakfast, away from subway stations.",2020-01-18 15:03:56.794123,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.794139,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794155,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.794171,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.794187,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.794203,ibis saint martin
google,4 stars,,2020-03-23 15:03:56.794219,ibis saint martin
google,4 stars,Standard Ibis hotel. Clean and with helpful staff. You get what you pay for.,2019-01-18 15:03:56.794235,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.794252,ibis saint martin
google,3 stars,"Good hotel, however, lacks kettle for hot drink",2020-01-18 15:03:56.794268,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794284,ibis saint martin
google,4 stars,Good location. Clean standard hotel.,2019-01-18 15:03:56.794300,ibis saint martin
google,3 stars,"Simple, clean and well placed.",2019-01-18 15:03:56.794316,ibis saint martin
google,3 stars,,2019-01-18 15:03:56.794333,ibis saint martin
google,1 stars,,2020-01-18 15:03:56.794349,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.794365,ibis saint martin
google,4 stars,Recent renovation. Small but very clean bathroom Common nickel Smiling welcome,2020-01-18 15:03:56.794451,ibis saint martin
google,4 stars,"Hotel Great location, good value for the family room",2019-01-18 15:03:56.794470,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794486,ibis saint martin
google,,"Loved the breakfast and customer service. Great bed, small rooms. Overall great!",2020-01-18 15:03:56.794502,ibis saint martin
google,4 stars,Good staff friendly and discreet room well kept and comfortable do not change anything I will come back,2020-01-18 15:03:56.794518,ibis saint martin
google,4 stars,,2021-01-03 15:03:56.794535,ibis saint martin
google,4 stars,Good location at a fair price,2020-09-19 15:03:56.794551,ibis saint martin
google,5 stars,,2020-03-23 15:03:56.794568,ibis saint martin
google,3 stars,,2019-01-18 15:03:56.794584,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.794605,ibis saint martin
google,,Bom atendimento e simplicidade no acolhimento Visited in January 2020,2020-02-22 15:03:56.794631,ibis saint martin
google,4 stars,,2020-09-19 15:03:56.794658,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.794683,ibis saint martin
google,1 stars,,2020-01-18 15:03:56.794708,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.794733,ibis saint martin
google,,"Friendly staff, especially the lady at the reception Visited in November 2020",2020-11-18 15:03:56.794761,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.794791,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794824,ibis saint martin
google,2 stars,,2020-10-19 15:03:56.794853,ibis saint martin
google,2 stars,,2019-01-18 15:03:56.794883,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.794913,ibis saint martin
google,5 stars,Affordable price for Paris and a warm welcome!,2020-08-20 15:03:56.794946,ibis saint martin
google,3 stars,"The situation near the Canal Saint Martin is really nice. In a few meters, we are on the banks and after a pleasant walk of a good half hour, we find ourselves in the park Villette. The rooms are small but ultra rational. The view of the 506 is nonexistent but is it the most important? The breakfast is ok but nothing more (except the eggs to cook, no other hot dish). An Ibis remains an Ibis ... Good value for money.",2019-01-18 15:03:56.794975,ibis saint martin
google,3 stars,,2019-01-18 15:03:56.795008,ibis saint martin
google,1 stars,"We would not recommend this hotel to anyone. The location is in a street where there are lots of people who are homeless, on drugs and mentally unstable who loiter at the entrance of the hotel. On our first morning less that five metres from the front of the hotel there was a trail of fresh blood along the footpath which led to a pool of blood on the other side of the street. That afternoon, along the same street, there was two large pools of blood. It is an uncomfortable sight and we felt very unsafe, some taxi drivers wouldn’t take us to the hotel. In addition to this, upon our arrival we were given a room which was not located in the hotel, rather, a bunker outside of the hotel on the fire escape stairs. It was the only room in the entire hotel like this. We asked to change rooms and they were unable to do so until the next day. Again, due to the location and the atmosphere outside of our hotel we did not feel comfortable and did not get a good nights sleep.",2019-01-18 15:03:56.795047,ibis saint martin
google,,"Kellemes, családias szálloda. 4 tagú családunk egy apartmanban kapott helyet, így együtt lehetett a család. A szobák tiszták, az ágyak kényelmesek. Az ott dolgozó emberek nagyon kedvesek és segítőkészek. A szálloda elhelyezkedése a 3 közeli metrómegálló miatt ideális. A reggeli friss és finom. Visited in July 2018",2019-01-18 15:03:56.795195,ibis saint martin
google,3 stars,,2020-03-23 15:03:56.795221,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.795239,ibis saint martin
google,5 stars,Excellent ❗️❗️❗️,2020-02-22 15:03:56.795257,ibis saint martin
google,1 stars,"I am told by phone that checks are accepted as a means of payment, and finally on site I am told that this is not possible. Well done, thank you for coming. Nice fraudulent practice, because I am not fooled, obviously that you hope by saying that that the customer changes payment method once there. Pitiful.",2020-09-19 15:03:56.795275,ibis saint martin
google,4 stars,Ibis classic hotel. The room is comfortable and clean. Calm neighborhood. The breakfast is ok but considering the rate we could expect better. Lift broke down every 2 days. Very nice staff.,2019-01-18 15:03:56.795294,ibis saint martin
google,5 stars,Nothing to say and the top small rooms but gorgeous staff,2020-01-18 15:03:56.795311,ibis saint martin
google,5 stars,"Piscesque place, very close to the channel that receives its name. Very rich and complete breakfasts",2020-01-18 15:03:56.795328,ibis saint martin
google,3 stars,"Correct hotel with clean and modern facilities although not spacious. Clean room and bathroom approved although the toilet has no brush (unacceptable hygienic detail). Good breakfast. No noise at night. The valuation of the accommodation is marred by the area: a section of the dirty canal, full of graffiti, with beggars in the arcades that shout at you as you pass. Well connected both in transport and in restaurants, but would not repeat because of the feeling of insecurity.",2020-03-23 15:03:56.795346,ibis saint martin
google,5 stars,Not bad and well located,2020-03-23 15:03:56.795364,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.795381,ibis saint martin
google,5 stars,Nice rooms and great bathroom! The breakfast is small but nice ..... delicious,2020-01-18 15:03:56.795397,ibis saint martin
google,5 stars,"Very clean very welcoming. Only problem is that there is no parking. After, we managed to find one next.",2020-01-18 15:03:56.795413,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.795429,ibis saint martin
google,,Área dos quartos mais de acordo com um Ibis Budget. Atendimento pode melhorar Visited in August 2019,2020-01-18 15:03:56.795444,ibis saint martin
google,5 stars,"ok hotel well located 2 steps from the subway (colonel fabien), canal st martin, underground parking (ZENPARK), nice package for 2/3 nights on paris",2020-01-18 15:03:56.795461,ibis saint martin
google,5 stars,I had a lot of fun with my girlfriend in Paris and hotel was spotless,2020-01-18 15:03:56.795477,ibis saint martin
google,3 stars,Good value for money but disappointing comfort and breakfast,2020-01-18 15:03:56.795494,ibis saint martin
google,4 stars,"Well placed, no noise",2020-02-22 15:03:56.795510,ibis saint martin
google,,Begripvol personeel aan de balie. Erg vriendelijk en meedenkend naar een oplossing voor een persoonlijk probleempje. Top!! Propere kamer en een heel goed bed. Visited in October 2019,2020-01-18 15:03:56.795526,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.795543,ibis saint martin
google,,"Todo muy correcto. Trato, habitación, servicios. Visited in September 2020",2020-10-19 15:03:56.795561,ibis saint martin
google,4 stars,"Affordable hotel. Close to several good bistros, shops and bakeries. Good connection to the center and the attractions of Paris (close to 2 metro lines).",2020-09-19 15:03:56.795578,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.795595,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.795612,ibis saint martin
google,4 stars,,2020-03-23 15:03:56.795695,ibis saint martin
google,5 stars,"Good location, nice staff and really good breakfast. Highly recommended",2019-01-18 15:03:56.795714,ibis saint martin
google,,"5 pessoas em Paris. Normalmente teríamos que reservar dois quartos em um Ibis, mas este hotel, em particular, oferece um (me parece que apenas um) quarto família no piso térreo com 5 camas, quase a metade do preço pelo mesmo conforto (diria … Visited in December 2019",2020-01-18 15:03:56.795730,ibis saint martin
google,,"Très bon accueil, personnel sympa, design moderne et fonctionnel.Lenvironnement extérieur aurait amplement besoin dêtre amélioré mais ce nest pas la responsabilité de lhotel.",2020-01-18 15:03:56.795747,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.795765,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.795781,ibis saint martin
google,5 stars,I'm working there,2020-03-23 15:03:56.795797,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.795814,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.795830,ibis saint martin
google,,Prijs/kwaliteit prima locatie. Goed gelegen dichtbij de autoluwe omgeving van Van St Martin met een ruim aanbod om lokaal te eten. Op 5 minuten van het metrostation Louis Blanc. Visited in July 2020,2020-08-20 15:03:56.795846,ibis saint martin
google,5 stars,"Stayed there for three nights, two people. Room was small but still comfortable and clean and new. The bathroom was small, too but for two people enough space, you don't stay in a hotel room that long anyways . We couldn't really open the window at night, because it was in direction of the street. We were really satisfied with the place. It's not far from Paris Gare L'Est and a metro station as well as a super market are only a ca 5 minute walk away.",2019-01-18 15:03:56.795894,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.795916,ibis saint martin
google,3 stars,Small but room warm,2019-01-18 15:03:56.795933,ibis saint martin
google,5 stars,"A good, quiet hotel not far from the Canal Saint Martin and transport links too bad there is not a real restaurant there is a box system to heat up it is suitable if you do not want to move I complete my opinion following another visit the hotel is completely redone with spacious rooms 28 m square a good level of comfort on the bedding no noise",2020-01-18 15:03:56.795950,ibis saint martin
google,5 stars,Great stay! Great staff. Comfortable 😊,2019-01-18 15:03:56.795967,ibis saint martin
google,4 stars,Nice hotel without pretension.,2020-01-18 15:03:56.795985,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.796001,ibis saint martin
google,,Die lange es Hotels ist schön zentral. Die Zimmer sehr sauber! Gut einen Wochenendtrip zu empfehlen.,2020-01-18 15:03:56.796016,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.796033,ibis saint martin
google,5 stars,"Nothing to complain about, got everything you'd expect for a hotel and an added bonus of great WIFI and view.",2019-01-18 15:03:56.796049,ibis saint martin
google,,"Das Hotel war tiptop, tolles Frühstücksbuffet mit Honig von den eigenen Bienen vom Dach. Insgesamt gut. Die Sauberkeit lies etwas zu wünschen übrig. Unsere Matratze war mit Kakao bekleckert und wurde trotz einer Bemerkung auf einem Zettel …",2020-01-18 15:03:56.796066,ibis saint martin
google,5 stars,"The main disadvantage is very small rooms. But as it turned out, the whole problem was the whole of Paris.",2020-01-18 15:03:56.796083,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.796100,ibis saint martin
google,5 stars,Warm welcome a friendly helpful very well located 12 rue Louis Blanc not far from the Gare de l'Est good value for money spacious rooms very good breakfast,2020-08-20 15:03:56.796116,ibis saint martin
google,3 stars,,2020-02-22 15:03:56.796134,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.796520,ibis saint martin
google,3 stars,,2019-01-18 15:03:56.796544,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.796563,ibis saint martin
google,,The lady receptionist was not very helpful. Towels were old. The location was not nice.,2020-01-18 15:03:56.796580,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.796597,ibis saint martin
google,,"The group of men loitering near the entrance hotel (apparently waiting for bus) caused some apprehension upon my arrival. However, once inside, I was delighted to find a small but stylish lobby and an easy check-in process. My room was …",2020-03-23 15:03:56.796617,ibis saint martin
google,4 stars,"Hotel ideally located to discover the east of Paris (canal Saint-Martin, Belleville, Park Buttes Chaumont, Père Lachaise). Very friendly and professional welcome. Nice buffet for breakfast. And perfectly soundproof rooms. Metro Jaurès at 3 '.",2020-01-18 15:03:56.796645,ibis saint martin
google,4 stars,,2020-02-22 15:03:56.796674,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.796703,ibis saint martin
google,,"Le personnel rencontré était parfait (accueil) qui a permis de remplacer la télécommande tv défectueuse... Par contre, le ménage laisse un peu à désirer, le sèche-cheveux notamment était sale (poussière et traces de vernis à ongle). Il … Visited in December 2020",2020-12-18 15:03:56.796732,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.796768,ibis saint martin
google,5 stars,,2020-09-19 15:03:56.796800,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.796834,ibis saint martin
google,,"Ottimo comfort, hotel pulito ed essenziale, buona colazione . Perfetto per uso b&b in una zona ben servita. Stanze piccole. Bagno migliorabile. Consigliato. Visited in August 2019",2020-01-18 15:03:56.796866,ibis saint martin
google,4 stars,The room was perfect! The comfortable bed. The well-appointed bathroom. A strong good impression at the reception.,2020-01-18 15:03:56.796901,ibis saint martin
google,,"Bien situé, près du Canal St. Martin. Propre, professionnel, bon accueil, juste ce quil faut dans la chambre, cest le principal. Il manque peut-être une brosse pour nettoyer les WC.Pas de bar dans la chambre mais au rez, possibilité dacheter boissons etc ...Petit déj. dans un lieu agréable. Choix varié, TB.",2019-01-18 15:03:56.796934,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.796970,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.797004,ibis saint martin
google,4 stars,"Very quiet and well located, bed 120, cleanliness impeccable.",2020-01-18 15:03:56.797037,ibis saint martin
google,5 stars,"Well located hotel (between the Canal Saint Martin and Buttes Chaumont) in a popular area (in the sense that there are small shops that make the reputation of Paris: grocery, market, florist, ..) pleasant staff and your service, new and impeccable rooms",2020-01-18 15:03:56.797071,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.797152,ibis saint martin
